,ID,entrez_id
326,DB00083,6616
327,DB00083,388
328,DB00086,5340
329,DB00086,2149
330,DB00086,5321
331,DB00087,1043
332,DB00087,2215
333,DB00087,715
334,DB00087,712
335,DB00087,713
336,DB00087,714
337,DB00087,2214
338,DB00087,2209
339,DB00087,2212
340,DB00087,2213
341,DB00087,9103
342,DB00089,2346
343,DB00091,819
344,DB00091,5535
345,DB00091,5478
346,DB00091,10105
347,DB00091,1551
348,DB00091,1577
349,DB00091,1576
350,DB00091,1557
351,DB00091,1558
352,DB00091,1559
353,DB00091,1565
354,DB00091,5243
355,DB00091,8714
356,DB00091,8647
357,DB00091,6579
358,DB00091,6555
359,DB00091,6554
360,DB00091,9356
361,DB00091,89845
362,DB00091,1244
363,DB00091,9429
364,DB00091,10599
365,DB00091,28234
366,DB00092,914
367,DB00092,715
368,DB00092,712
369,DB00092,713
370,DB00092,714
371,DB00092,2214
372,DB00092,2209
373,DB00092,2212
374,DB00092,2213
375,DB00092,9103
376,DB00092,2215
377,DB00093,552
378,DB00094,2492
379,DB00095,3683
380,DB00095,2215
381,DB00095,715
382,DB00095,712
383,DB00095,713
384,DB00095,714
385,DB00095,2214
386,DB00095,2209
387,DB00095,2212
388,DB00095,2213
389,DB00095,9103
390,DB00097,3973
391,DB00097,2492
392,DB00098,909
393,DB00098,3140
394,DB00098,3683
395,DB00098,942
396,DB00098,2213
397,DB00098,920
398,DB00098,3688
399,DB00098,3685
400,DB00098,3690
401,DB00099,1441
402,DB00099,1991
403,DB00100,2159
404,DB00100,2160
405,DB00100,2155
406,DB00100,2157
407,DB00100,2147
408,DB00100,4035
409,DB00100,2677
410,DB00102,5159
411,DB00102,5156
412,DB00102,2
413,DB00104,6751
414,DB00104,6755
415,DB00104,6752
416,DB00104,4353
417,DB00104,1576
418,DB00105,3455
419,DB00105,3454
420,DB00105,1544
421,DB00106,2798
422,DB00107,5021
423,DB00107,5020
424,DB00107,5550
425,DB00108,3676
426,DB00108,2215
427,DB00108,715
428,DB00108,712
429,DB00108,713
430,DB00108,714
431,DB00108,2214
432,DB00108,2209
433,DB00108,2212
434,DB00108,2213
435,DB00108,9103
436,DB00108,3383
437,DB00109,
438,DB00109,1557
439,DB00109,1571
440,DB00110,
